Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.3 (lin64) Build 2405991 Thu Dec  6 23:36:41 MST 2018
| Date         : Mon Dec  5 06:00:18 2022
| Host         : ubuntu running 64-bit Ubuntu 16.04.7 LTS
| Command      : report_high_fanout_nets -file /home/wxrqw/rocket/freedom-configsty/builds/vc707-u500devkit/obj/report/fanout.txt -timing -load_types -max_nets 25
| Design       : VC707PCIeShell
| Device       : xc7vx485t
-------------------------------------------------------------------------------------------------------------------------------------------------------------------

High Fan-out Nets Information

1. LoadTypewise Fanout Summary
------------------------------

+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------+-------------+-----------------+-----------------+-----------------------------+-----------------------------+-----------------------------+-----------------------------+
|                                                                                                                                                                                                            |        |             |                 |                 |         Clock Enable        |          Set/Reset          |         Data & Other        |            Clock            |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------+-------------+-----------------+-----------------+-------+----+----------------+-------+----+----------------+-------+----+----------------+-------+----+----------------+
| Net Name                                                                                                                                                                                                   | Fanout | Driver Type | Worst Slack(ns) | Worst Delay(ns) | Slice | IO | BRAM/DSP/OTHER | Slice | IO | BRAM/DSP/OTHER | Slice | IO | BRAM/DSP/OTHER | Slice | IO | BRAM/DSP/OTHER |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------+-------------+-----------------+-----------------+-------+----+----------------+-------+----+----------------+-------+----+----------------+-------+----+----------------+
| topDesign/topMod/debug_1/dmOuter/dmOuter/DMCONTROL/reg_1/q_reg_1                                                                                                                                           |   5867 | LUT2        |           4.228 |          13.002 |     0 |  0 |              0 |  5598 |  2 |              0 |   267 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/debug_1/dmOuter/dmOuter/DMCONTROL/reg_1/q_reg_4[0]                                                                                                                                        |   3776 | LUT2        |           4.228 |           7.565 |     0 |  0 |              0 |  3776 |  0 |              0 |     0 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/tile/accumulator/co_core/_GEN_6050[0]                                                                                                                                                     |   1221 | RAMB36E1    |           5.717 |           8.910 |     0 |  0 |              0 |     0 |  0 |              0 |  1221 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/tile/accumulator/co_core/_GEN_6047[0]                                                                                                                                                     |   1178 | RAMB36E1    |           5.264 |           5.028 |     0 |  0 |              0 |     0 |  0 |              0 |  1178 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/tile/accumulator/co_core/_GEN_6047[1]                                                                                                                                                     |   1178 | RAMB36E1    |           5.149 |           5.171 |     0 |  0 |              0 |     0 |  0 |              0 |  1178 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/tile/accumulator/co_core/_GEN_6050[1]                                                                                                                                                     |   1156 | RAMB36E1    |           8.006 |           6.137 |     0 |  0 |              0 |     0 |  0 |              0 |  1156 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/tile/accumulator/co_core/_T_833[1]                                                                                                                                                        |   1039 | RAMB36E1    |           3.985 |           3.207 |     0 |  0 |              0 |     0 |  0 |              0 |  1039 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/tile/accumulator/co_core/_T_833[0]                                                                                                                                                        |   1034 | RAMB36E1    |           4.050 |           3.118 |     0 |  0 |              0 |     0 |  0 |              0 |  1034 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/tile/accumulator/co_core/m_res_en[0]                                                                                                                                                      |   1029 | RAMB36E1    |           6.901 |           5.755 |     0 |  0 |              0 |     0 |  0 |              0 |  1029 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/tile/accumulator/co_core/m_res_en[1]                                                                                                                                                      |   1029 | RAMB36E1    |           6.074 |           9.067 |     0 |  0 |              0 |     0 |  0 |              0 |  1029 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/mig/island/blackbox/u_vc707mig1gb_mig/u_memc_ui_top_axi/u_ui_top/ui_wr_data0/wdf_rdy_ns                                                                                                   |    789 | LUT6        |           1.060 |           1.250 |   768 |  0 |              0 |     0 |  0 |              0 |    21 |  0 |              0 |     0 |  0 |              0 |
