Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.3 (lin64) Build 2405991 Thu Dec  6 23:36:41 MST 2018
| Date         : Tue Dec  6 00:57:51 2022
| Host         : ubuntu running 64-bit Ubuntu 16.04.7 LTS
| Command      : report_high_fanout_nets -file /home/wxrqw/rocket/freedom-configsty/builds/vc707-u500devkit/obj/report/fanout.txt -timing -load_types -max_nets 25
| Design       : VC707PCIeShell
| Device       : xc7vx485t
-------------------------------------------------------------------------------------------------------------------------------------------------------------------

High Fan-out Nets Information

1. LoadTypewise Fanout Summary
------------------------------

+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------+-------------+-----------------+-----------------+-----------------------------+-----------------------------+-----------------------------+-----------------------------+
|                                                                                                                                                                     |        |             |                 |                 |         Clock Enable        |          Set/Reset          |         Data & Other        |            Clock            |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------+-------------+-----------------+-----------------+-------+----+----------------+-------+----+----------------+-------+----+----------------+-------+----+----------------+
| Net Name                                                                                                                                                            | Fanout | Driver Type | Worst Slack(ns) | Worst Delay(ns) | Slice | IO | BRAM/DSP/OTHER | Slice | IO | BRAM/DSP/OTHER | Slice | IO | BRAM/DSP/OTHER | Slice | IO | BRAM/DSP/OTHER |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------+-------------+-----------------+-----------------+-------+----+----------------+-------+----+----------------+-------+----+----------------+-------+----+----------------+
| topDesign/topMod/debug_1/dmOuter/dmOuter/DMCONTROL/reg_1/q_reg_1                                                                                                    |   5761 | LUT2        |           5.379 |          12.042 |     0 |  0 |              0 |  5480 |  2 |              0 |   279 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/tile/accumulator/co_core/reg_63                                                                                                                    |   3776 | LUT4        |           9.836 |           5.304 |     0 |  0 |              0 |  3776 |  0 |              0 |     0 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/tile/accumulator/co_core/_GEN_6047[0]                                                                                                              |   1184 | RAMB36E1    |           5.355 |           4.677 |     0 |  0 |              0 |     0 |  0 |              0 |  1184 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/tile/accumulator/co_core/_GEN_6047[1]                                                                                                              |   1184 | RAMB36E1    |           5.298 |           4.993 |     0 |  0 |              0 |     0 |  0 |              0 |  1184 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/tile/accumulator/co_core/_GEN_6050[0]                                                                                                              |   1157 | RAMB36E1    |           8.066 |           4.096 |     0 |  0 |              0 |     0 |  0 |              0 |  1157 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/tile/accumulator/co_core/_GEN_6050[1]                                                                                                              |   1146 | RAMB36E1    |           8.701 |           2.802 |     0 |  0 |              0 |     0 |  0 |              0 |  1146 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/tile/accumulator/co_core/reg_46[63]_i_2_n_0                                                                                                        |   1076 | LUT4        |           6.860 |           4.575 |     0 |  0 |              0 |     0 |  0 |              0 |  1076 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/tile/accumulator/co_core/reg_45[63]_i_2_n_0                                                                                                        |   1071 | LUT4        |           6.900 |           3.641 |     0 |  0 |              0 |     0 |  0 |              0 |  1071 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/tile/accumulator/co_core/_T_826[0]                                                                                                                 |   1033 | RAMB36E1    |           4.893 |           3.077 |     0 |  0 |              0 |     0 |  0 |              0 |  1033 |  0 |              0 |     0 |  0 |              0 |
