Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.3 (lin64) Build 2405991 Thu Dec  6 23:36:41 MST 2018
| Date         : Mon Dec  5 08:50:15 2022
| Host         : ubuntu running 64-bit Ubuntu 16.04.7 LTS
| Command      : report_high_fanout_nets -file /home/wxrqw/rocket/freedom-configsty/builds/vc707-u500devkit/obj/report/fanout.txt -timing -load_types -max_nets 25
| Design       : VC707PCIeShell
| Device       : xc7vx485t
-------------------------------------------------------------------------------------------------------------------------------------------------------------------

High Fan-out Nets Information

1. LoadTypewise Fanout Summary
------------------------------

+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------+-------------+-----------------+-----------------+-----------------------------+-----------------------------+-----------------------------+-----------------------------+
|                                                                                                                                                                     |        |             |                 |                 |         Clock Enable        |          Set/Reset          |         Data & Other        |            Clock            |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------+-------------+-----------------+-----------------+-------+----+----------------+-------+----+----------------+-------+----+----------------+-------+----+----------------+
| Net Name                                                                                                                                                            | Fanout | Driver Type | Worst Slack(ns) | Worst Delay(ns) | Slice | IO | BRAM/DSP/OTHER | Slice | IO | BRAM/DSP/OTHER | Slice | IO | BRAM/DSP/OTHER | Slice | IO | BRAM/DSP/OTHER |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------+-------------+-----------------+-----------------+-------+----+----------------+-------+----+----------------+-------+----+----------------+-------+----+----------------+
| topDesign/topMod/debug_1/dmOuter/dmOuter/DMCONTROL/reg_1/q_reg_1                                                                                                    |   5802 | LUT2        |           8.403 |           7.966 |     0 |  0 |              0 |  5556 |  2 |              0 |   244 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/tile/accumulator/co_core/reg_63                                                                                                                    |   3776 | LUT6        |           8.403 |           5.184 |     0 |  0 |              0 |  3776 |  0 |              0 |     0 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/tile/accumulator/co_core/_GEN_6047[0]                                                                                                              |   1198 | RAMB36E1    |           5.612 |           4.382 |     0 |  0 |              0 |     0 |  0 |              0 |  1198 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/tile/accumulator/co_core/_GEN_6047[1]                                                                                                              |   1197 | RAMB36E1    |           5.564 |           4.624 |     0 |  0 |              0 |     0 |  0 |              0 |  1197 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/tile/accumulator/co_core/_GEN_6050[0]                                                                                                              |   1169 | RAMB36E1    |           7.166 |           3.881 |     0 |  0 |              0 |     0 |  0 |              0 |  1169 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/tile/accumulator/co_core/_GEN_6050[1]                                                                                                              |   1115 | RAMB36E1    |           6.043 |           9.465 |     0 |  0 |              0 |     0 |  0 |              0 |  1115 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/tile/accumulator/co_core/reg_45[63]_i_2_n_0                                                                                                        |   1078 | LUT6        |           6.341 |           2.879 |     0 |  0 |              0 |     0 |  0 |              0 |  1078 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/tile/accumulator/co_core/reg_46[63]_i_3_n_0                                                                                                        |   1067 | LUT6        |           6.297 |           2.925 |     0 |  0 |              0 |     0 |  0 |              0 |  1067 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/tile/accumulator/co_core/_T_836[0]                                                                                                                 |   1035 | RAMB36E1    |           4.522 |           2.530 |     0 |  0 |              0 |     0 |  0 |              0 |  1035 |  0 |              0 |     0 |  0 |              0 |
